Promoter_1_gene_id	Promoter_1_Type	Cell_line_interaction	Promoter_2_gene_id	Promoter_2_Type		
ACTRT3	EPromoter(K562)	Hela	RPS15A	EPromoter(Hela)		
ACTRT3	EPromoter(K562)	Hela	SEC62	EPromoter(Hela)		
ACTRT3	EPromoter(K562)	Hela	UTP11L	hPromoter		
ACVR1B	hPromoter	Hela	FAM8A1	hPromoter		
ADAL	hPromoter	Hela	THEM4	hPromoter		
ADAL	hPromoter	Hela	ZSCAN29	hPromoter		
ADAL	hPromoter	Hela	TUBGCP4	hPromoter		
ADAM10	hPromoter	Hela	FAM63B	hPromoter		
ADAM15	hPromoter	Hela	SHC1	EPromoter(Hela)		
ADAM15	hPromoter	Hela	CKS1B	hPromoter		
ADAM15	hPromoter	Hela	PBXIP1	hPromoter		
ADAM15	hPromoter	Hela	PYGO2	hPromoter		
ADAM15	hPromoter	Hela	PMVK	hPromoter		
ADAM17	hPromoter	Hela	KLF11	hPromoter		
ADAM17	hPromoter	Hela	YWHAQ	hPromoter		
ADAM17	hPromoter	Hela	CPSF3	hPromoter		
ADAM17	hPromoter	Hela	ITGB1BP1	hPromoter		
ADAM17	hPromoter	Hela	IAH1	hPromoter		
ADAM17	hPromoter	Hela	BTD	hPromoter		
ADAM17	hPromoter	Hela	HACL1	hPromoter		
ADAM20	hPromoter	Hela	IQCC	hPromoter		
ADAM9	hPromoter	Hela	C9orf85	hPromoter		
ADAMTS1	hPromoter	Hela	KLHL26	hPromoter		
ADAMTS5	hPromoter	Hela	C1orf116	hPromoter		
ADAMTS5	hPromoter	Hela	TMEM261	hPromoter		
ADAMTSL4	hPromoter	Hela	MCL1	hPromoter		
ADAMTSL4	hPromoter	Hela	TARS2	hPromoter		
ADAR	EPromoter(Hela)	K562 & Hela	ADAR	EPromoter(Hela)		
ADAR	EPromoter(Hela)	Hela	MRPS15	hPromoter		
ADAR	EPromoter(Hela)	Hela	GADD45B	hPromoter		
ADARB2	hPromoter	Hela	IDI1	hPromoter		
ADAT1	hPromoter	Hela	TERF2IP	hPromoter		
ADAT1	hPromoter	Hela	KARS	hPromoter		
ADAT1	hPromoter	Hela	IST1	hPromoter		
ADAT1	hPromoter	Hela	TMEM231	hPromoter		
ADAT3	hPromoter	Hela	ABHD17A	hPromoter		
ADCK2	hPromoter	Hela	NDUFB2	hPromoter		
ADCK3	hPromoter	Hela	CFL2	hPromoter		
ADCK3	hPromoter	Hela	PSEN2	hPromoter		
ADCK3	hPromoter	Hela	PBX1	hPromoter		
ADCK4	EPromoter(Hela)	Hela	C19orf54	hPromoter		
ADCK4	EPromoter(Hela)	Hela	SNRPA	hPromoter		
ADCK5	hPromoter	Hela	SLC52A2	hPromoter		
ADCK5	hPromoter	Hela	FBXL6	hPromoter		
ADCK5	hPromoter	Hela	VPS28	hPromoter		
ADCK5	hPromoter	Hela	CYHR1	hPromoter		
ADCK5	hPromoter	Hela	KIFC2	hPromoter		
ADCK5	hPromoter	Hela	HSF1	hPromoter		
ADCK5	hPromoter	Hela	BOP1	hPromoter		
ADCK5	hPromoter	Hela	DGAT1	hPromoter		
ADCK5	hPromoter	K562 & Hela	CPSF1	hPromoter		
ADCY4	hPromoter	K562 & Hela	KHNYN	EPromoter(Hela)		
ADCY4	hPromoter	K562 & Hela	CBLN3	hPromoter		
ADCY8	hPromoter	Hela	VWA7	hPromoter		
ADCY9	hPromoter	Hela	OSR2	hPromoter		
ADI1	hPromoter	Hela	TTK	hPromoter		
ADIPOR1	hPromoter	Hela	KLHL12	hPromoter		
ADIPOR2	hPromoter	Hela	CFAP70	hPromoter		
ADK	hPromoter	Hela	AP3M1	hPromoter		
